NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=947.196s, table=0, n_packets=29175, n_bytes=1867200, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9004 actions=drop
 cookie=0x0, duration=947.196s, table=0, n_packets=29064, n_bytes=1860096, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9005 actions=output:2
 cookie=0x0, duration=947.196s, table=0, n_packets=29085, n_bytes=1861440, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9006 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=28879, n_bytes=1848256, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9007 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=28839, n_bytes=1845696, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9008 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=29065, n_bytes=1860160, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9009 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=29208, n_bytes=1869312, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9010 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=29023, n_bytes=1857472, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9011 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=29061, n_bytes=1859904, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9012 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=28931, n_bytes=1851584, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9013 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=29108, n_bytes=1862912, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9014 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=29300, n_bytes=1875200, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9015 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=29091, n_bytes=1861824, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9016 actions=drop
