NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=406.941s, table=0, n_packets=5179, n_bytes=331456, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9022 actions=drop
 cookie=0x0, duration=406.940s, table=0, n_packets=5085, n_bytes=325440, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9023 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5000, n_bytes=320000, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9024 actions=drop
 cookie=0x0, duration=406.940s, table=0, n_packets=5237, n_bytes=335168, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9025 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5234, n_bytes=334976, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9026 actions=drop
 cookie=0x0, duration=406.940s, table=0, n_packets=5097, n_bytes=326208, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9027 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5158, n_bytes=330112, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9028 actions=drop
 cookie=0x0, duration=406.940s, table=0, n_packets=5115, n_bytes=327360, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9029 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5149, n_bytes=329536, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9030 actions=drop
 cookie=0x0, duration=406.940s, table=0, n_packets=5257, n_bytes=336448, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9031 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5190, n_bytes=332160, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9032 actions=drop
 cookie=0x0, duration=406.940s, table=0, n_packets=5157, n_bytes=330048, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9033 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5148, n_bytes=329472, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9034 actions=drop
